Month,DayofMonth,DayOfWeek,FlightDate,AirlineID,Carrier,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,Diverted,ActualElapsedTime,AirTime,Distance,departure,arrival,origin_airport_code,departureDelay,lon_origin,lat_origin,dest_airport_code,arrivalDelay,lon_dest,lat_dest,Year,id
5,13,2,2008-05-13,19805,AA,397,MIA,LAX,1820,1819,-1.00,0.00,0,10.00,1829,2038,4.00,2055,2042,-13.00,0.00,0,0,0,323.00,309.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-1887418542
5,9,5,2008-05-09,19805,AA,267,MIA,LAX,1610,1632,22.00,22.00,1,19.00,1651,1908,32.00,1845,1940,55.00,55.00,1,0,0,368.00,317.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-989831925
4,2,3,2008-04-02,19790,DL,125,ATL,LAX,1600,1601,1.00,1.00,0,15.00,1616,1800,10.00,1745,1810,25.00,25.00,1,0,0,309.00,284.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1320010085
4,12,6,2008-04-12,19790,DL,125,ATL,LAX,1605,1627,22.00,22.00,1,18.00,1645,1754,17.00,1746,1811,25.00,25.00,1,0,0,284.00,249.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1392953513
4,9,3,2008-04-09,19790,DL,885,ATL,LAX,1440,1442,2.00,2.00,0,14.00,1456,1620,11.00,1625,1631,6.00,6.00,0,0,0,289.00,264.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-2075934113
4,25,5,2008-04-25,19790,DL,35,ATL,LAX,950,947,-3.00,0.00,0,28.00,1015,1155,11.00,1145,1206,21.00,21.00,1,0,0,319.00,280.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1215063134
4,21,1,2008-04-21,19790,DL,875,ATL,LAX,2010,2010,0.00,0.00,0,21.00,2031,2145,10.00,2209,2155,-14.00,0.00,0,0,0,285.00,254.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-908036928
5,4,7,2008-05-04,19805,AA,972,MIA,LAX,2105,2104,-1.00,0.00,0,15.00,2119,2332,36.00,2345,8,23.00,23.00,1,0,0,364.00,313.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-1674832918
4,6,7,2008-04-06,20437,FL,54,ATL,LAX,1035,1212,97.00,97.00,1,16.00,1228,1407,9.00,1240,1416,96.00,96.00,1,0,0,304.00,279.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,242146371
4,17,4,2008-04-17,20437,FL,41,ATL,LAX,2130,2128,-2.00,0.00,0,16.00,2144,2300,11.00,2330,2311,-19.00,0.00,0,0,0,283.00,256.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1674023331
5,1,4,2008-05-01,19805,AA,283,MIA,LAX,1115,1112,-3.00,0.00,0,32.00,1144,1355,13.00,1343,1408,25.00,25.00,1,0,0,356.00,311.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,153085497
4,18,5,2008-04-18,19790,DL,125,ATL,LAX,1605,1600,-5.00,0.00,0,16.00,1616,1728,7.00,1746,1735,-11.00,0.00,0,0,0,275.00,252.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1473704536
4,13,7,2008-04-13,19790,DL,885,ATL,LAX,1440,1449,9.00,9.00,0,19.00,1508,1619,6.00,1625,1625,0.00,0.00,0,0,0,276.00,251.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1592188404
4,16,3,2008-04-16,20437,FL,41,ATL,LAX,2130,2132,2.00,2.00,0,22.00,2154,2318,9.00,2330,2327,-3.00,0.00,0,0,0,295.00,264.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,691531517
